,TITLE,TIME,DESCRIPTION,CONTENT,year,month,day,hour,status,10,12,2018,2019,7nm,8150,855,ces,computex,facebook,finfet,mashdigi,mwc,qualcomm,sm8150,snapdragon,一款,三星,不過,今年,今年底,仍無法,仍維持,以現,作為,使用,傳聞,先前,全新,公布,分享,刊登,則是,包含,原文,可能,台積電,合作,同時將,名為,名稱,型號,多常,媒體,宣布,將以,將與,就是,常時,年底,廠商,應用,應該,或是,所指,所能,手機,打造,技術,指稱,授權,採用,接下,推出,提交,揭曉,文件,新款,新聞,明年,是否,更多,更多常時,最快,期間,機處,正式,消息,版本,理器,甚至,產品,目前,知曉細節,確定,確認,筆電,筆電產品,等到,維持,網獲,聯合,聯盟,至於,藍牙,規範,認證,資訊,轉載,連接,連網,階段,預期,預計,首波
106,傳企業主勸選2024 柯文哲：吃飯什麼都可能談到,2019-08-29,媒體報導，台北市長柯文哲日前與企業老闆共進晚餐時，會中有人勸進參選2024總統。柯文哲今天說，吃飯過程大家七嘴八舌，什麼...,"媒體報導，台北市長柯文哲日前與企業老闆共進晚餐時，會中有人勸進參選2024總統。柯文哲今天說，吃飯過程大家七嘴八舌，什麼都有可能談到，選舉是熱門題目，不可能不談。 
由於柯文哲說過9月再決定要不要參選，若鴻海創辦人郭台銘將代表親民黨出征2020總統，他是否會於9月先行表態，柯文哲表示，等郭台銘回台後再談談，並重申9月17日最後截止日，「9月17日以前，就蒐集資料看看嘛」。 
柯文哲上午出席兒童誠信月主題動畫首映會，會後接受媒體訪問時作上述表示。 
媒體報導，柯文哲日前在飯店與企業老闆們共進晚餐，有人認為柯文哲等第二任期結束，2024再選總統更好；柯文哲則介紹台灣民眾黨組黨過程及現況。 
對此，柯文哲今天被問及席間與企業主談了什麼時，他說，「如果吃1個多小時，什麼話都有，就不用去轉述」，強調「當作吃飯，這樣就好」。 
媒體追問是否觸及選舉及民眾黨創立過程等議題時，柯文哲表示，「吃飯過程，大家七嘴八舌，什麼都有可能談到，有沒有談到選舉？廢話，熱門題目不可能不談」。 
針對郭台銘與親民黨理念都是「捍衛中華民國」，柯文哲重申「國就是中華民國、家就是台灣」，強調中華民國在台灣政治上還是最大公約數。 
對於時代力量黨主席徐永明的批評，柯文哲說，政黨間互有批評很正常，「他可以講他的，對或不對，社會大眾會去作評論」，指人人都可提出自己的主張，最終由市場決定，「在台灣，就是民意，這也是民主政治可貴的地方」。 
徐永明28日表示，柯文哲一邊尋求台灣首富支持，晚間還跟財團吃飯，竟然還稱民眾黨，相當諷刺。 
台北市長柯文哲上午出席政風處兒童誠信月主題動畫首映會時受訪，媒體一窩蜂包圍，他露出驚訝表情。聯合報系資料照／記者林俊良攝影 分享   facebook",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
107,台股量縮盤整 力守10400點整數關卡,2019-08-29,台股今天盤中量縮盤整，在平盤下游走震盪，力守10400點整數關卡。法人表示，下週台股區間震盪，9月中旬可見波段高點，建議...,"台股今天盤中量縮盤整，在平盤下游走震盪，力守10400點整數關卡。法人表示，下週台股區間震盪，9月中旬可見波段高點，建議投資人選股不選市。 
台股今天盤中量縮盤整，力守10400點整數關卡。 記者林澔一／攝影 分享   facebook      
儘管美股收紅，不過市場傳出美國總統川普對中國3000億美元商品徵稅提高到15%，台股今天在平盤下游走震盪，力守10400點整數關卡之上。 
到10時37分，台股加權指數來到10426.48點，小跌7.81點，跌幅0.07%，成交值來到新台幣496.19億元。電子股盤中跌0.06%，金融股跌0.46%。 
主要電子權值股整理休息，其中台積電來到平盤252元，股王大立光來到3860元，小漲0.39%。鴻海來到72元，小跌0.55%。 
聯發科來到365.5元，小跌0.14%，日月光投控來到68.7元，小跌0.43%，友達來到7.81元，漲3.86%，群創來到6.82元，漲2.4%。 
被動元件族群國巨來到平盤204.5元，華新科來到147.5元，小跌0.34%。 
第一金投顧董事長陳奕光表示，台股盤中呈現量縮盤整格局，追價意願不高，大盤在短期均線之下。 
陳奕光指出，台股從前波高點約10994點下滑到10180點後反彈，上下震盪800多點，目前台股屬於區間整理格局，主要是8月份外資法人賣超台股達1350億元，是今年單月次高。 
展望台股後市，陳奕光預期要觀察美國利率倒掛與經濟景氣的關聯，資金應該還是青睞匯率較穩定的台股，預期下週台股在10350點到10650點區間震盪，9月中旬可見波段高點，建議投資人選股不選市。",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
108,引爆「韓朱配」話題 江啟臣：整合不力、基層焦慮,2019-08-29,國民黨初選結束月餘，整合腳步太慢引發基層不滿。國民黨立委江啟臣昨在自己臉書放上自己與總統參選人韓國瑜、新北市前市長朱立...,"高雄市長韓國瑜（左）與前新北市長朱立倫（右）。記者許正宏／攝影 分享   facebook      
國民黨初選結束月餘，整合腳步太慢引發基層不滿。國民黨立委江啟臣昨在自己臉書放上自己與總統參選人韓國瑜、新北市前市長朱立倫的合照，支持者開始力拱韓朱配，包括台中市長盧秀燕、雲林縣長張麗善也紛紛留言打氣，擔任韓陣營競選幹部的國民黨立委顏寬恒更寫說，「團結就對了」。 
據透露，韓國瑜夫人李佳芬在一場與台中地方人士聚會中透露，「韓營已跟朱立倫聯繫，會請他擔任重要的位置」。韓國瑜陣營發言人何庭歡表示，韓國瑜不會放棄與黨內任何一位優秀同志合作的機會，唯有全黨團結一致，才能夠在2020年打出好成績，重返執政。 
一位熟悉藍營地方生態人士指出，韓國瑜若是找朱立倫搭配，等於拿下新北市，還可進一步搶攻桃園市，而且可借重朱立倫的財經專長，在經貿領域大大加分。 
另一方面，據了解，李佳芬日前到台中與地方人士聚會時，在場人士當面建議，若第二名（指初選民調第二的郭台銘）整合沒希望，也應該要找第三名。與會人士也分析，朱立倫的形象、能力與藍營正統性上，都對韓國瑜有絕對的幫助，更有助凝聚藍營士氣。 
在地方人士積極勸進找朱立倫合作時，根據轉述，李佳芬當場回應說，韓營有跟朱立倫聯繫，會請朱擔任重要的位置。 
江啟臣在臉書掀起「韓朱配」的話題，除了盧秀燕、張麗善、顏寬恒都留言打氣外，包括國民黨立委許毓仁、林為洲、王育敏與林麗蟬也現身附和。另外，親近朱立倫的議員葉元之、江怡臻與黃健豪，也都相繼留言力挺。 
江啟臣說，今天國民黨有主將、有候選人，鴻海創辦人郭台銘的問題，也許是高層才能處理，但至少其他人要趕快動起來，要把同具實力的朱立倫整合起來，而非等到民進黨調整好步伐、整隊完成，國民黨才開始焦慮。 
江啟臣說，今天不是說韓國瑜一定要跟朱立倫配，實際上基層焦慮和不滿愈來愈盛，都是指責「國民黨到底在幹嘛，難道整合只針對郭王？」 
江啟臣說，這些是來自基層的聲音，若國民黨沒有先展現團結的力道，民眾就算對蔡英文總統再怎麼不滿，都不見得會出來投票，因為看不到翻盤希望。江啟臣在臉書留言指，「小編告訴我，這，是他期待的看板」，引爆「韓朱配」話題。 圖取自江啟臣臉書 分享   facebook",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
109,副手戰／藍委臉書掀話題 韓朱配聲浪起,2019-08-29,國民黨初選結束月餘，整合腳步太慢引發基層不滿。國民黨立委江啟臣昨在自己臉書放上自己與總統參選人韓國瑜、新北市前市長朱立倫的合照，支持者開始力拱韓朱配，包括台中市長盧秀燕、雲林縣長張麗善也紛紛留言打氣，擔任韓陣營競選幹部的國民黨立委顏寬恒更寫說，「團結就對了」。,"國民黨立委江啟臣昨在自己臉書放上自己與總統參選人韓國瑜、新北市前市長朱立倫的合照，支持者開始力拱韓朱配。圖為初選結果揭曉後，勝出的高雄市長韓國瑜（左）拜會朱立倫（右）。 圖／聯合報系資料照片 分享   facebook      
國民黨初選結束月餘，整合腳步太慢引發基層不滿。國民黨立委江啟臣昨在自己臉書放上自己與總統參選人韓國瑜、新北市前市長朱立倫的合照，支持者開始力拱韓朱配，包括台中市長盧秀燕、雲林縣長張麗善也紛紛留言打氣，擔任韓陣營競選幹部的國民黨立委顏寬恒更寫說，「團結就對了」。 
韓陣營：韓不會放棄與黨內任何一位優秀同志合作的機會 
據透露，韓國瑜夫人李佳芬在一場與台中地方人士聚會中透露，「韓營已跟朱立倫聯繫，會請他擔任重要的位置」。韓國瑜陣營發言人何庭歡表示，韓國瑜不會放棄與黨內任何一位優秀同志合作的機會，唯有全黨團結一致，才能夠在2020年打出好成績，重返執政。 
一位熟悉藍營地方生態人士指出，韓國瑜若是找朱立倫搭配，等於拿下新北市，還可進一步搶攻桃園市，而且可借重朱立倫的財經專長，在經貿領域大大加分。 
另一方面，據了解，李佳芬日前到台中與地方人士聚會時，在場人士當面建議，若第二名（指初選民調第二的郭台銘）整合沒希望，也應該要找第三名。與會人士也分析，朱立倫的形象、能力與藍營正統性上，都對韓國瑜有絕對的幫助，更有助凝聚藍營士氣。 
在地方人士積極勸進找朱立倫合作時，根據轉述，李佳芬當場回應說，韓營有跟朱立倫聯繫，會請朱擔任重要的位置。 
盧秀燕、張麗善、顏寬恒都留言打氣 
江啟臣在臉書掀起「韓朱配」的話題，除了盧秀燕、張麗善、顏寬恒都留言打氣外，包括國民黨立委許毓仁、林為洲、王育敏與林麗蟬也現身附和。另外，親近朱立倫的議員葉元之、江怡臻與黃健豪，也都相繼留言力挺。 
江啟臣說，今天國民黨有主將、有候選人，鴻海創辦人郭台銘的問題，也許是高層才能處理，但至少其他人要趕快動起來，要把同具實力的朱立倫整合起來，而非等到民進黨調整好步伐、整隊完成，國民黨才開始焦慮。 
江啟臣說，今天不是說韓國瑜一定要跟朱立倫配，實際上基層焦慮和不滿愈來愈盛，都是指責「國民黨到底在幹嘛，難道整合只針對郭王？」",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
110,何時處理郭台銘？ 黃暐瀚：917領表那秒就該開除黨籍,2019-08-29,鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選總統，卻引發國民黨內何時黨紀處分爭議。資深媒體人黃暐瀚早...,"鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選總統，卻引發國民黨內何時黨紀處分爭議。資深媒體人黃暐瀚早上在他的電台節目說，917郭台銘去領表，成為被連署人那一秒開始，國民黨就應該開除了。 
黃暐瀚指出，他認為有90%的機率，郭台銘會在9月17日之前去中選會領表，成為獨立的總統參選人，副手會不會是立委王金平？現在不知道。王金平昨天面對記者訪問時說，中常會通過黨員規範，如果917跑去領表，就要開除黨籍，這關他何事？他又沒說要脫黨，要開除他是用那一條？ 
黃說，917領表開除一事，之前有爭議認為，917去領表成為總統參選人，之後開始連署，可能連署人數不過，氣勢又弱，反會幫了韓國瑜。要是連署有過，分數超過30萬人，但一查很多無效，未能真正成為參選人。再者連署過了，檢查也過了，但最後郭猶豫了。 
黃暐瀚說，他認為917郭台銘去領表，成為被連署人那一秒開始，國民黨就應該開除他了啦，不要講到917，823郭柯王合體，就已造成國民黨參選人傷害了。 
郭柯王都說要合作了， 917去領表，領了還說不能開除，因為連署還沒過啊，他認為這就說不過去了，從郭領表那一刻就是參選，他再講白一點，兩個界定點，第一個，917去中選會領表那天要繳100萬，第二個，公家機關已受理是擬參選人了，必須證明自己有那個資格，開始連署28萬。 
國民黨從1996年以來，沒有另一個人跑去獨立參選領表，當郭成為國民黨之外的選擇時，就應該處理他的黨籍，如果有人說郭是看韓不行，大哥挺住不讓蔡英文當選，那郭就要背負被開除黨籍。王金平是國民黨不分區立委排名第一名，他有不分區立委的責任，就是輔選黨的責任，王應該開始他的工作，但院長輕忽這個工作，每天還在跟記者QA。柯郭王八二三「合體」後，郭台銘(中)將逕自宣布參選的消息甚囂塵上，讓藍營基層大感焦慮。圖／聯合報系資料照片 分享   facebook",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
111,郭台銘違紀參選就鍘？ 吳敦義：定黨員行為規範就這意思,2019-08-29,鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選總統，卻引發國民黨內何時黨紀處分爭議。國民黨主席吳敦義今...,"鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選總統，卻引發國民黨內何時黨紀處分爭議。國民黨主席吳敦義今受訪表示，如果有違犯黨紀，當然依規定處理，昨天中常會通過總統與立委選舉「黨員行為規範」，就是這個意思。 
吳敦義更提到，對於違紀參選總統者開鍘，說不定不是正式登記參選時，只有連署等違紀的動作，就會觸犯黨的規定。但吳也說，他仍盡力整合郭台銘中，哪有一個黨希望開除或註銷黨員黨籍，但也強調他不能去假設誰會脫黨參選。 
對於黨中央被質疑整合力度不足，吳敦義說，他請黨副主席郝龍斌與郭台銘聯繫很多次，吳郭會目前也都在聯繫當中，但不是每個人都能馬上說服，如果一見面就一翻兩瞪眼不就掛了，當然要先溝通。 
吳敦義表示，整合的事情雙方都要努力，「我們（指黨中央）很努力，不知道韓那邊努力到什麼進展，反正我們（指黨中央）都盡心盡力」。至於能否勸說郭台銘續留國民黨，吳表示，不能說沒有機會，也不能說有把握，總是要努力。鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選總統，卻引發國民黨內何時黨紀處分爭議。國民黨主席吳敦義今受訪表示，如果有違犯黨紀，當然依規定處理，昨天中常會通過總統與立委選舉「黨員行為規範」，就是這個意思。記者周志豪／攝影 分享   facebook",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
112,郭台銘違紀參選開鍘？ 吳敦義：連署就觸犯黨規,2019-08-29,鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選，卻引發黨內祭黨紀處分的爭議。國民黨主席吳敦義今天表示，如果有違犯黨紀，當然依規定處理，昨天中常會通過總統與立委選舉「黨員行為規範」，就是這個意思。,"國民黨主席吳敦義上午出席綠建築頒獎典禮，他表示有請郝副主席去和郭台銘溝通。對韓陣營抱怨黨中央沒有努力，吳敦義表示：雙方都要努力吧。 記者邱德祥／攝影 分享   facebook      
鴻海創辦人郭台銘傳出將於9月中登記為總統選舉被連署人，獨立參選，卻引發黨內祭黨紀處分的爭議。國民黨主席吳敦義今天表示，如果有違犯黨紀，當然依規定處理，昨天中常會通過總統與立委選舉「黨員行為規範」，就是這個意思。 
吳敦義提到，對於違紀參選總統者開鍘，說不定不是正式登記參選時，只有連署等違紀動作，就會觸犯黨的規定。但吳敦義說，仍盡力整合郭台銘中，哪有一個黨希望開除或註銷黨員黨籍，但也強調他不能去假設誰會脫黨參選。 
對於黨中央被質疑整合力度不足，吳敦義說，副主席郝龍斌與郭台銘聯繫很多次，吳郭會目前也都在聯繫當中，但不是每個人都能馬上說服，如果一見面就一翻兩瞪眼不就掛了，當然要先溝通。 
吳敦義表示，整合的事情雙方都要努力，「我們（指黨中央）很努力，不知道韓那邊努力到什麼進展，反正我們（指黨中央）都盡心盡力」。至於能否勸說郭台銘續留國民黨，吳表示，不能說沒有機會，也不能說有把握，總是要努力。 
【記者林麗玉╱台北報導】國民黨主席吳敦義宣示要對違紀參選者開鍘，與郭台銘、柯文哲結盟參選傳聞不斷的王金平表示，大家都要尊重黨紀的處理。但王金平也說，黨中央運作整合一直都沒消息，也從來沒有來跟他接觸。",2019,8,29,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
113,聯合筆記／郭柯王合作 啟人疑竇,2019-08-28,郭柯王合作是否成局，半個月內即將揭曉，但這個組合，恐怕會讓外界更加質疑背後動機。,"郭台銘（中）陣營拋出一份內部民調，指郭台銘與國民黨唯一勝選模式就是國民黨推派郭參選。 圖／聯合報系資料照片 分享   facebook      
郭柯王合作是否成局，半個月內即將揭曉，但這個組合，恐怕會讓外界更加質疑背後動機。 
因為一位是以榮譽黨員身分爭取國民黨總統提名失利，一位是退出國民黨總統初選的黨員，如今要與台灣民眾黨主席合作，挺進明年總統和立委選舉，這中間充滿太多想像空間，絕非光靠「為中華民國好」、「愛台灣」等幾句口號，就輕描淡寫帶過。 
鴻海創辦人郭台銘是國民黨初選前，才獲得資深黨員的認定，現在他打算走出自己的路，可能和新興政黨攜手；但郭台銘如何解釋個人政黨色彩，以及政治光譜上的定位，勢必都會遭受各方攻訐。 
何況郭台銘的資產，尤其是在中國大陸的投資，將來在他正式宣布參選後，將成為選戰攻防焦點。但先引爆這話題的卻是柯文哲，他要郭台銘說明，接著又要郭台銘將個人財產充公，郭柯王尚未成形前，柯文哲將矛頭指向郭台銘財產，耐人尋味。 
柯文哲可能有兩種用意，其一是根本不想促成郭柯王真正合作，故意對準郭台銘最不想公開的財產，同時藉此凸顯個人身家清白。另一方面，柯文哲可能是提前示警，要郭台銘先處理好個人財產，再來加入戰局，避免日後被攻擊。 
目前無法揣測柯文哲是否真心力挺郭台銘，只是柯文哲是否投入總統大選，前提是看郭台銘要不要選，顯然已是從權謀角度出發，而不是直接考量到國家與人民，否則他早就直接披掛上陣。 
而且萬一柯文哲心目中最佳人選郭台銘，最後選擇不選，柯文哲該如何說服大家轉而支持他參選？又或者郭台銘要參選，卻不說明個人資產，柯文哲是否願意無條件力挺？即便能對郭台銘資產視而不見，柯文哲又如何呼籲大家投給一個從國民黨初選落敗的出走者？ 
何況接下來組合裡，還有一位立法院前院長王金平，他既不脫黨，又不參加初選，卻又要參選到底，態度曖昧，令人丈二金剛，眼下卻要與他人、他黨合作，怎麼讓原本支持者跟著轉向，肯定是一大挑戰。 
郭柯王合作是熱議題，但等到鞭炮聲停止、煙硝散去，外界就會愈來愈清楚這三人的動機和目的。 
",2019,8,28,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
114,韓國瑜蔡英文對決會投誰？ 柯文哲：我會去郊遊,2019-08-28,台北市長柯文哲今晚上網紅「館長」陳之漢的直播，對於2020總統大選，若是鴻海董事長郭台銘沒出來，而是總統蔡英文與高雄市...,"台北市長柯文哲今晚上網紅「館長」陳之漢的直播，對於2020總統大選，若是鴻海董事長郭台銘沒出來，而是總統蔡英文與高雄市長韓國瑜對決，館長問柯文哲會支持誰，柯文哲說，他會去郊遊，他會很氣，很不喜歡看到這局面，且選舉就會變得很無聊、很髒。 
對於郭柯王見面，是否確定支持郭台銘？柯文哲說，不要說確定，藍綠以外，還有第三種選擇，第三選項叫希望，目前郭台銘有機會當這個人，但還是有模擬考的題目要準備，要講當總統以後，要怎麼解決問題，現在大家都在討論選舉怎麼贏，沒有人要講當選怎麼解決問題。柯文哲說，像小英有死穴，就是連任後，和大陸關係怎麼解決。 
至於柯文哲被問到，不是親中的人？柯說，我那有親中，他只是表現上友中。另對兩岸政策怎麼解決？柯笑說，那就是一天混過一天，面對鏡頭保持微笑，但該準備的還是要準備。 
也被網友問到任內的政績是什麼？柯文哲說，要列清單，柯文哲舉例像雙語學校、公幼、敬老卡、學校無人商店 上線、未來悠遊卡無現金交易，至於1.2萬戶公宅，現在同時施工，而大彎北段解決，還有內湖五期，這都可以列個清單。台北市長柯文哲今晚上網紅「館長」陳之漢的直播。圖／取自網路 分享   facebook",2019,8,28,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
115,李佳芬指黨中央沒幫忙 藍常委：胡說八道,2019-08-28,國民黨總統參選人韓國瑜近日腹背受敵，妻子李佳芬稱黨沒幫忙，遭中常委江碩平批「胡說八道！」國民黨文傳會代理主委程美華表示，...,"國民黨總統參選人韓國瑜近日腹背受敵，妻子李佳芬稱黨沒幫忙，遭中常委江碩平批「胡說八道！」國民黨文傳會代理主委程美華表示，一定會盡心盡力輔選韓國瑜，讓韓國瑜勝選，國民黨重返執政、撥亂反正。 
李佳芬接受週刊王專訪時，談到韓國瑜宣布參選總統後，為市政和選舉兩頭燒，面對地方重要建設與議題，地方立委卻不發聲相挺。並指出韓在高雄這麼賣力地做，沒日沒夜，但是黨和中央政府沒人幫助他。 
中常委江碩平今天在常會前受訪時直言「胡說八道！」黨主席吳敦義費了多大力量、找盡了所有關係去跟鴻海創辦人郭台銘協調，希望勸退郭台銘，只是吳敦義不願意講。 
江碩平也質疑，「什麼叫幫忙不夠？」難道要每天報告協調狀況怎麼樣，包括他個人在內，也費了很大力量在幫忙協調郭台銘，所以他很清楚黨中央什麼人做了什麼事，李佳芬講的不實在。 
國民黨文傳會代理主委程美華表示，韓國瑜是經過國民黨公平、公正、公開的初選機制產生的總統參選人，他們將盡心盡力輔選，讓韓國瑜勝選，重返執政，撥亂反正。 
不具名藍委私下嘆氣說，「她怎麼可以說這種話」，對立委而言有失公允。 
國民黨立委陳學聖表示，雙方在認知上應該有差異，因為黨中央跟郭台銘的協調看不出成果，當事人會覺得是不是可以用更多的力量，這是必然的，像他去年在競選桃園市長時，要整合脫黨參選的楊麗環，也是整合不到，當事人當然就會沮喪，因此雙方都要互相了解這個情況。 
國民黨立委柯志恩也說，每個人主觀的感受都會不一樣，畢竟李佳芬是韓國瑜的妻子，當然會心疼先生；吳敦義也是盡能力在做私下的協調，在沒有特別告知的情況下，在認知與感受上就會不同，但相信大家都是各自在做努力。",2019,8,28,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
116,失智咖啡館關門危機暫解 醫盼建立可長可久營運方式,2019-08-28,本報率先報導國內唯一早發失智關懷場所「Young記憶會館」，因缺乏贊助恐在年底收攤後，引發各界關注，鴻海集團創辦人郭台...,"台灣失智症協會為中壯年失智瘲患者，設置全台第一間年輕版的瑞智學堂「Young記憶會館」，課程和空間環境都重新設計。 圖／本報資料照片 分享   facebook     本報率先報導國內唯一早發失智關懷場所「Young記憶會館」，因缺乏贊助恐在年底收攤後，引發各界關注，鴻海集團創辦人郭台銘日前前往拜訪，永齡基金會昨天也宣布，未來三年將每年贊助四百萬元，支持Young記憶會館及Young 咖啡坊運作。 
我國約有言1萬2000名的早發性失智症患者，患者在65歲以前即失智，對家庭衝擊更勝老年失智症。林口長庚醫院失智症科主治醫師徐榮隆表示，感謝郭董和許多企業及善心人士的關心，展現台灣人的愛心與熱情，對於早發性失智患者來說，會館提供復健及支持非常重要，未來更希望能找到長久延續營下去的方法。 
台灣失智症協會曾調查，早發性失智症個案確診前約44%者還在職場上，但確診後仍繼續工作的比率僅剩10%。但能夠繼續工作者，不是自己開業當老闆，就是公司願意提供職務調整，才能繼續留在職場上。徐榮隆也希望，早發性失智症患者的復健能和長照相關科系的課程連結；甚至有更多職場透過職務再設計，接納患者。 
徐榮隆也表示，早發性失智症家庭算是「高風險家庭」，少了經濟來源和家庭支柱，連孩子都可能受到影響，政府也應正視並提供就業機會，「處理好一個病人，其實可救一個家。」徐榮隆也呼籲家屬，應鼓勵個案早期診斷、治療和接受復能協助，醫療上也能幫助配偶規畫照顧方式，讓「家」能持續運作下去。 
台灣失智症協會秘書長湯麗玉表示，失智症協會今收到永齡基金會通知，將願意資助Young記憶會館後續三年的經費，詳細的資助情形永齡基金會日後將對外公布，年輕型失智患者所服務的Young咖啡坊以確定至少在後續三年不必打烊，感謝社會各界幫忙。 
台灣失智症協會企畫副組長周欣儀表示，Young記憶會館周一到周五提供患者復健、音樂課程、手作活動等，周六則作為「Young咖啡坊」，目前有10位早發性失智症的患者，完成訓練，輪流提供服務。上周六雖逢颱風，仍有上百位民眾到咖啡坊支持早發性失智症的患者，9月28日至29日將在北市華山文創園區推出Young Coffee限定店，也希望各界支持。",2019,8,28,0,1,1,1,1,2,1,3,2,1,1,1,1,1,1,4,1,5,3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
